Name,Rarity,PrimaryRoleGroup,PrimaryAttackCategory,RangeClass,Health,Damage,TotalDamage,MovementSpeed,RangeCategory,Class,EffectiveRangeTiles,RangeScore,AmmoCount,ReloadSpeedClass,ReloadSpeedScore,AttackCooldownClass,AttackCooldownScore,ProjectileSpeedClass,ProjectileSpeedScore,ProjectileWidthClass,ProjectileWidthScore,BurstDamageClass,BurstDamageScore,SustainedDPSClass,SustainedDPSScore,SuperChargeRateClass,SuperChargeRateScore,MobilityScore,EngageScore,EscapeScore,AimPrecision,PositioningImportance,DecisionComplexity,MechanicalDifficulty,SkillFloor,SkillCeiling,AreaControlScore,LaneControlScore,ObjectivePressureScore,TeamUtilityScore,SurvivabilityScore,PokePressureScore,CloseRangeThreatScore,HasThrowAttack,HasShotgunSpread,HasMeleePrimary,HasContinuousAttack,HasBounceAttack,HasDeployableCore,HasPrecisionProjectile,HasMultiProjectilePattern,HasAreaPrimary,HasDash,HasJumpOrTeleport,HasHealing,HealingType,HasStun,HasSlow,HasKnockback,HasPull,HasSilence,HasShield,HasInvisibility,HasPetOrSummon,HasPiercing,HasSplashDamage,HasWallBreak,CanZone,CanScoutBushes,SuperType,HealingGroup,SuperTypeGroup,PrimaryWinConditionGroup,ManualReviewFlag,ReleasedForCurrentDataset,SourceURL
8-Bit,Super Rare,DamageDealer,Deployable,Long,10400.0,6 x 640,3840.0,Very Slow,Very Long,Damage Dealer,9.7,4,3,Slow,2,Slow,2,Fast,4,Thin,2,Medium,3,VeryHigh,5,Normal,3,1,1,1,3,3,3,3,3,3,4,3,5,4,4,4,3,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,1,1,Buff,,Utility,HybridDamage,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Alli,Mythic,Assassin,MultiProjectile,Short,7800.0,2600,2600.0,Fast,Short,Assassin,3.0,1,3,Fast,4,Fast,4,Fast,4,Thin,2,VeryHigh,5,Medium,3,Fast,4,5,5,4,3,4,4,4,3,5,2,2,4,1,3,1,5,0,0,0,0,0,0,0,1,0,1,0,0,,0,1,1,0,0,0,0,0,0,0,0,1,1,Mobility,,Mobility,CloseRange,1,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Amber,Legendary,Controller,Continuous,Long,6800.0,4200,4200.0,Normal,Long,Controller,8.3,4,1,Normal,3,VeryFast,5,Fast,4,Wide,4,High,4,VeryHigh,5,Normal,3,2,2,2,2,4,4,3,2,4,5,4,4,3,3,4,2,0,0,0,1,0,0,0,0,1,0,0,0,,0,1,1,0,0,0,0,0,1,0,0,1,1,AreaControl,,AreaControl,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Angelo,Epic,Marksman,Precision,Very Long,6200.0,4000,4000.0,Very Fast,Very Long,Marksman,10.0,5,1,Normal,3,Slow,2,VeryFast,5,Narrow,1,VeryHigh,5,Low,2,Normal,3,4,2,4,5,5,4,4,3,5,2,5,3,2,2,5,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,0,1,1,Damage,,Damage,LongRangePick,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Ash,Epic,Tank,Melee,Short,11800.0,1600,1600.0,Normal,Normal,Tank,3.0,1,3,Fast,4,Fast,4,VeryFast,5,Normal,3,High,4,High,4,Fast,4,3,4,3,2,4,4,3,3,4,2,2,4,1,5,1,5,0,0,1,0,0,0,0,0,0,0,0,1,Self,0,1,1,0,0,0,0,1,1,0,0,1,1,Damage,Self,Damage,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Barley,Rare,Hybrid,Thrower,Long,5400.0,1600,1600.0,Normal,Long,Artillery,7.3,4,3,Normal,3,Normal,3,Slow,2,Wide,4,Medium,3,Medium,3,Normal,3,2,2,2,3,5,4,3,3,4,5,4,4,2,2,4,3,1,0,0,0,0,0,0,0,1,0,0,1,Self/Area,0,1,0,0,0,0,0,0,0,1,0,1,1,AreaControl,Other,AreaControl,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Bea,Epic,Marksman,Precision,Very Long,5600.0,1600,1600.0,Normal,Very Long,Marksman,10.0,5,3,Normal,3,Normal,3,VeryFast,5,Narrow,1,VeryHigh,5,Low,2,Normal,3,2,1,2,5,4,4,4,3,5,3,5,3,2,2,5,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,1,1,0,0,0,0,0,1,0,0,1,1,Slow,,Slow,LongRangePick,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Belle,Epic,Marksman,Bounce,Very Long,5800.0,2080,2080.0,Normal,Very Long,Marksman,10.0,5,3,Slow,2,Slow,2,Fast,4,Thin,2,Medium,3,Medium,3,Normal,3,2,1,2,5,4,4,4,3,5,3,5,3,3,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,0,1,1,Debuff,,Utility,LongRangePick,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Berry,Epic,Support,Thrower,Long,5200.0,1320,1320.0,Normal,Normal,Support,7.0,4,3,Normal,3,Normal,3,Slow,2,Wide,4,Medium,3,Medium,3,Normal,3,2,2,2,3,5,5,4,3,5,5,4,4,5,3,4,2,1,0,0,0,0,0,0,0,1,0,0,1,Ally/Area,0,1,1,0,0,0,0,0,1,1,0,1,1,Healing,Ally/Area,Healing,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Bibi,Epic,Tank,Melee,Short,10000.0,2800,2800.0,Very Fast,Short,Tank,3.7,1,3,Normal,3,Slow,2,VeryFast,5,VeryWide,5,High,4,Medium,3,Normal,3,4,4,4,2,4,4,3,2,4,2,3,4,2,4,1,5,0,0,1,0,0,0,0,0,0,1,0,1,Self,0,1,1,0,0,1,0,0,1,0,0,1,1,Mobility,Self,Mobility,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
