Rank,Name,WinRate,UseRate,MetaScore
1,Bolt,58.5,1.52,8.7
2,Colette,53.9,3.55,8.4
3,Damian,60.2,1.09,8.3
4,Bo,53.9,1.75,8.0
5,Chester,53.0,2.13,8.0
6,Najia,54.8,1.49,7.9
7,Griff,52.3,2.32,7.9
8,Mina,54.5,1.44,7.8
9,Bibi,50.5,3.4,7.6
10,Edgar,50.1,6.18,7.6
11,Fang,50.1,2.49,7.5
12,Mortis,49.9,5.02,7.5
13,Crow,49.8,3.4,7.5
14,Pierce,50.8,1.62,7.2
15,Bull,49.0,2.27,7.1
16,Otis,51.7,1.29,7.0
17,Byron,49.1,1.6,6.8
18,Brock,48.5,1.73,6.8
19,Emz,47.8,2.12,6.8
20,Colt,46.6,3.82,6.8
21,Starr Nova,53.8,0.98,6.7
22,Stu,51.4,1.19,6.7
23,Leon,47.8,1.8,6.7
24,Meeple,51.6,1.09,6.6
25,Rico,45.5,3.21,6.5
26,Kenji,50.9,1.1,6.4
27,Kit,52.0,0.96,6.3
28,Piper,46.5,1.68,6.3
29,Nita,51.9,0.94,6.2
30,Clancy,52.9,0.83,6.1
31,Tick,48.0,1.2,6.1
32,Spike,44.6,1.85,6.1
33,Shade,54.4,0.74,6.0
34,Cordelius,49.7,0.96,5.9
35,Mandy,48.6,1.03,5.9
36,Frank,47.9,1.11,5.9
37,Surge,47.1,1.09,5.7
38,El Primo,47.3,0.96,5.5
39,Bea,50.1,0.77,5.4
40,Dynamike,41.8,1.68,5.4
41,Mico,54.1,0.6,5.3
42,Nani,51.4,0.7,5.3
43,Poco,48.2,0.85,5.3
44,Penny,49.5,0.73,5.2
45,Tara,52.0,0.62,5.1
46,Doug,53.9,0.55,5.0
47,Lumi,52.8,0.59,5.0
48,Carl,50.5,0.62,4.9
49,Gus,50.0,0.65,4.9
50,Lily,47.2,0.74,4.8
51,Buzz,47.1,0.73,4.8
52,Belle,49.6,0.61,4.7
53,Sirius,49.6,0.61,4.7
54,Jessie,49.3,0.63,4.7
55,Angelo,52.2,0.51,4.5
56,Kaze,51.0,0.54,4.5
57,Shelly,42.6,0.87,4.5
58,Chuck,54.6,0.44,4.4
59,Melodie,50.9,0.52,4.4
60,Darryl,48.7,0.57,4.4
61,Gale,49.6,0.5,4.1
62,Charlie,50.8,0.44,4.0
63,Gene,47.7,0.51,3.9
64,Squeak,44.8,0.57,3.9
65,Maisie,51.4,0.41,3.8
66,Grom,48.3,0.47,3.8
67,Jacky,52.1,0.36,3.6
68,Sandy,52.0,0.36,3.6
69,Finx,49.5,0.41,3.6
70,Gray,50.0,0.38,3.5
71,Alli,50.3,0.36,3.3
72,Ruffs,49.5,0.37,3.3
73,Lou,50.2,0.32,3.1
74,Willow,52.6,0.26,2.8
75,Amber,50.1,0.28,2.8
76,Max,46.8,0.33,2.8
77,Eve,52.4,0.25,2.7
78,Rosa,50.8,0.26,2.7
79,Berry,46.9,0.3,2.7
80,Trunk,53.6,0.23,2.6
81,Mr. P,51.1,0.25,2.6
82,Pearl,50.1,0.25,2.5
83,Barley,44.8,0.3,2.5
84,Draco,53.7,0.19,2.3
85,Moe,53.0,0.2,2.3
86,Gigi,52.3,0.21,2.3
87,Bonnie,45.2,0.27,2.3
88,Lola,52.6,0.18,2.1
89,Buster,50.6,0.2,2.1
90,Hank,51.8,0.18,2.0
91,Juju,51.7,0.18,2.0
92,Sprout,49.1,0.2,2.0
93,Janet,50.1,0.18,1.9
94,8-Bit,42.7,0.24,1.9
95,Ash,49.5,0.17,1.8
96,Glowy,51.8,0.14,1.6
97,R-T,50.0,0.15,1.6
98,Ziggy,48.0,0.16,1.6
99,Larry & Lawrie,44.2,0.18,1.6
100,Sam,52.2,0.13,1.5
101,Jae-Yong,48.9,0.14,1.5
102,Meg,47.3,0.15,1.5
103,Ollie,47.3,0.14,1.4
104,Pam,46.2,0.13,1.3
