Rank,Name,RankTier,WinRate,UseRate,MetaScore
1,Bo,Gold,57.1,2.32,7.3
2,Bibi,Gold,55.3,2.2,6.9
3,Chuck,Gold,66.2,1.09,6.8
4,Edgar,Gold,50.8,9.48,6.7
5,Mortis,Gold,54.1,2.09,6.6
6,Jessie,Gold,55.1,1.85,6.5
7,Colette,Gold,52.2,2.46,6.5
8,Tick,Gold,53.1,2.06,6.4
9,Griff,Gold,49.0,7.28,6.4
10,Brock,Gold,51.6,2.25,6.2
11,Bull,Gold,54.3,1.55,6.0
12,Crow,Gold,48.7,2.99,6.0
13,Rico,Gold,48.1,3.34,6.0
14,Colt,Gold,47.2,3.17,5.8
15,Emz,Gold,46.1,3.71,5.7
16,Mico,Gold,64.1,0.84,5.6
17,Najia,Gold,59.5,1.01,5.6
18,Mandy,Gold,52.2,1.44,5.5
19,Nita,Gold,53.3,1.29,5.4
20,Fang,Gold,51.8,1.32,5.2
21,Piper,Gold,47.5,1.82,5.2
22,Kenji,Gold,43.2,5.18,5.2
23,Dynamike,Gold,45.2,2.08,5.0
24,Penny,Gold,51.5,1.2,4.9
25,Leon,Gold,47.5,1.54,4.9
26,Chester,Gold,52.8,0.96,4.5
27,Byron,Gold,52.1,0.99,4.5
28,Pierce,Gold,53.5,0.89,4.4
29,Frank,Gold,44.8,1.51,4.4
30,Grom,Gold,56.0,0.77,4.3
31,Damian,Gold,59.1,0.63,4.1
32,Lily,Gold,52.7,0.77,4.0
33,Starr Nova,Gold,51.1,0.86,4.0
34,Squeak,Gold,46.3,1.09,4.0
35,Spike,Gold,40.3,1.74,4.0
36,Doug,Gold,60.4,0.55,3.8
37,Shade,Gold,55.7,0.58,3.5
38,Sirius,Gold,52.4,0.65,3.5
39,Jae-Yong,Gold,41.9,1.07,3.4
40,Surge,Gold,51.1,0.64,3.3
41,Kit,Gold,50.5,0.66,3.3
42,Nani,Gold,55.4,0.51,3.2
43,Bea,Gold,50.9,0.6,3.2
44,Cordelius,Gold,49.7,0.61,3.1
45,El Primo,Gold,44.1,0.79,3.1
46,Carl,Gold,51.2,0.54,3.0
47,Otis,Gold,50.6,0.57,3.0
48,Poco,Gold,47.8,0.64,3.0
49,Gus,Gold,54.4,0.47,2.9
50,Meeple,Gold,56.8,0.41,2.8
51,Buzz,Gold,44.6,0.66,2.8
52,Stu,Gold,51.2,0.49,2.7
53,Belle,Gold,50.2,0.51,2.7
54,Mina,Gold,57.3,0.36,2.6
55,Darryl,Gold,47.6,0.51,2.5
56,Tara,Gold,42.8,0.63,2.5
57,Shelly,Gold,36.7,0.87,2.5
58,Angelo,Gold,57.4,0.32,2.3
59,Clancy,Gold,51.7,0.39,2.3
60,8-Bit,Gold,41.8,0.6,2.3
61,Jacky,Gold,57.3,0.3,2.2
62,Barley,Gold,45.7,0.47,2.2
63,Kaze,Gold,53.5,0.32,2.1
64,Melodie,Gold,48.4,0.39,2.1
65,Berry,Gold,48.4,0.4,2.1
66,Gray,Gold,55.1,0.29,2.0
67,Amber,Gold,47.3,0.39,2.0
68,Gale,Gold,45.8,0.41,2.0
69,Sandy,Gold,44.6,0.36,1.8
70,Mr. P,Gold,48.0,0.31,1.7
71,Lou,Gold,46.2,0.33,1.7
72,Juju,Gold,62.4,0.18,1.6
73,Eve,Gold,52.5,0.23,1.5
74,Trunk,Gold,52.2,0.23,1.5
75,Gene,Gold,46.2,0.27,1.5
76,Larry & Lawrie,Gold,43.6,0.31,1.5
77,Sprout,Gold,54.9,0.2,1.4
78,Willow,Gold,54.6,0.19,1.4
79,Alli,Gold,51.6,0.22,1.4
80,Maisie,Gold,49.2,0.22,1.4
81,Lumi,Gold,49.2,0.24,1.4
82,Ziggy,Gold,56.0,0.18,1.3
83,Gigi,Gold,54.8,0.17,1.3
84,Pearl,Gold,45.6,0.25,1.3
85,Hank,Gold,57.9,0.16,1.2
86,Draco,Gold,55.0,0.15,1.1
87,Finx,Gold,52.7,0.16,1.1
88,Lola,Gold,50.3,0.16,1.0
89,Meg,Gold,39.2,0.23,1.0
90,R-T,Gold,59.1,0.11,0.9
91,Ruffs,Gold,54.3,0.12,0.9
92,Janet,Gold,54.0,0.13,0.9
93,Charlie,Gold,44.7,0.17,0.9
94,Rosa,Gold,36.8,0.24,0.9
95,Buster,Gold,56.2,0.11,0.8
96,Ash,Gold,47.8,0.13,0.8
97,Bonnie,Gold,46.1,0.14,0.8
98,Pam,Gold,45.4,0.14,0.8
99,Glowy,Gold,50.3,0.1,0.7
100,Max,Gold,31.4,0.25,0.7
101,Moe,Gold,52.7,0.08,0.6
102,Sam,Gold,56.0,0.07,0.5
103,Ollie,Gold,27.7,0.1,0.3
